source,target,material_shape,material_type,material_coating,value,material
iron ore,direct reduction,bulk,iron ore,none,66.3,bulk_iron ore_none
iron ore,blast furnace,bulk,iron ore,none,935.2,bulk_iron ore_none
direct reduction,electric furnace,bulk,direct reduction iron,none,65.8,bulk_direct reduction iron_none
direct reduction,reduction loss,loss,loss,none,0.5,loss_loss_none
blast furnace,reduction loss,loss,loss,none,6.8,loss_loss_none
blast furnace,electric furnace,bulk,pig iron,none,44.6,bulk_pig iron_none
blast furnace,oxygen blown converter,bulk,pig iron,none,824.6,bulk_pig iron_none
blast furnace,open hearth furnace,bulk,pig iron,none,34.0,bulk_pig iron_none
blast furnace,foundry iron casting,bulk,pig iron,none,25.2,bulk_pig iron_none
electric furnace,steelmaking loss,loss,loss,none,54.5,loss_loss_none
oxygen blown converter,steelmaking loss,loss,loss,none,140.5,loss_loss_none
open hearth furnace,steelmaking loss,loss,loss,none,4.6,loss_loss_none
electric furnace,CC bloom,bulk,liquid steel,none,67.8,bulk_liquid steel_none
electric furnace,CC billet,bulk,liquid steel,none,328.5,bulk_liquid steel_none
electric furnace,ingot casting,bulk,liquid steel,none,6.8,bulk_liquid steel_none
electric furnace,steel product casting,bulk,liquid steel,none,4.0,bulk_liquid steel_none
oxygen blown converter,CC bloom,bulk,liquid steel,none,32.8,bulk_liquid steel_none
oxygen blown converter,CC billet,bulk,liquid steel,none,159.1,bulk_liquid steel_none
oxygen blown converter,CC slab,bulk,liquid steel,none,646.7,bulk_liquid steel_none
oxygen blown converter,ingot casting,bulk,liquid steel,none,53.0,bulk_liquid steel_none
open hearth furnace,ingot casting,bulk,liquid steel,none,29.3,bulk_liquid steel_none
CC bloom,casting loss,loss,loss,none,1.6,loss_loss_none
CC bloom,CC bloom scrap,scrap,cast steel,none,8.8,scrap_cast steel_none
CC bloom scrap,CC bloom,scrap,cast steel,none,8.8,scrap_cast steel_none
CC bloom,forming scrap collection,scrap,cast steel,none,2.0,scrap_cast steel_none
CC billet,casting loss,loss,loss,none,1.6,loss_loss_none
CC billet,CC billet scrap,scrap,cast steel,none,8.8,scrap_cast steel_none
CC billet scrap,CC billet,scrap,cast steel,none,8.8,scrap_cast steel_none
CC billet,forming scrap collection,scrap,cast steel,none,2.0,scrap_cast steel_none
CC slab,casting loss,loss,loss,none,3.0,loss_loss_none
CC slab,CC slab scrap,scrap,cast steel,none,16.5,scrap_cast steel_none
CC slab scrap,CC slab,scrap,cast steel,none,16.5,scrap_cast steel_none
CC slab,forming scrap collection,scrap,cast steel,none,3.7,scrap_cast steel_none
